"recommendationThermocycling","Wir wollten das von uns entwickelte Standard Handbuch für Heizungsbau in eine baustellengerechte Software gießen. Viele Softwarefirmen beschränken sich auf reine Programmierung - ohne Kenntnisse der Anwendung. Von Rapidfacture haben wir ein Komplettpaket erhalten: Softwareentwicklung kombiniert mit Ingenieurdienstleistungen. Wenig Kommunikations- und Erklärungsbedarf; die jeweiligen Stände der Software funktionierten. <br><br>In der Zusammenarbeit musste ich mich überraschend wenig kümmern - ein Selbstläufer."
"recommendatedFromThermocycling","Mario Rauter, Ing. für Energie und Regeltechnik, Thermocycling GmbH"
"softwareForYourProduction","Software für Ihre Produktion"
"machining","Zerspanung"
"surfaceTreatment","Oberflächenbehandlung"
"cncMilledParts","CNC-Frästeile"
"onlineDesignUpperCase","Online Konstruieren"
"orderTurnedAndMilledParts","Dreh- und Frästeile bestellen"
"mechanicalDesignTool","Mechanische Auslegungstools"
"webSoftwareDevelopment","Websoftwareentwicklung"
"allInOneWithoutBreaks","All-in-one Softwarelösung für Ihre Produktion"
"home","Home"
"softwareForProduction","Software für Produktion"
"allInOne","All-in-one <br>Softwarelösung <br>für Ihre <br>Produktion"
"alsoPrivate","auch privat"
"forIndustry","Für Industrie"
"uploadStpPdfDxf","Upload .pdf .stp .dxf"
"receivePrice","Preis erhalten"
"receivePart","Bauteil erhalten"
"alsoExpress","auch Express"
"automationPro","Automation Pro"
"productionGoesDigital","Produktion wird digital"
"stopAutomationPro","Automation Pro stoppen"
"learnMore","Mehr erfahren"
"startAutomationPro","Automation Pro starten"
"sendRequest","weitere Anfrage senden"
"thermorouter_text_1.5","Electron Desktop App und Server Anwendung"
"thermorouter","Thermorouter"
"thermorouter_text_1.4","CAD Export Schnittstelle"
"thermorouter_text_1.3","Auslegung der Kreisläufe, Dimensionierung von Pumpe und Heizung"
"bernhardFelixStory4","Während der Online-Handel mit Bauteilen die Gründungsidee war, hat sich der Fokus auf die Technologie selbst verlagert, weil wir das Fehlen der digitalen Tools als größte Hürde für unsere Vision der vernetzten Fabrik sehen. Wir selbst haben geglaubt, dass es keinen Sinn macht, den Text aus E-Mails abzutippen und dass es möglich sein muss, automatisch zu kalkulieren, zu planen und NC-Programme abzuleiten.
Wir verstehen uns als Vermittler zwischen Ihrem Unternehmen und der digitalen Welt. Mit Automation Pro möchten wir eine praxisnahe Komplettlösung für Fertigungsbetriebe liefern."
"inCooperationWithMTO","In Kooperation mit MTO-Maschinenbau."
"northernGermany","Norddeutschland"
"salesManagement","Vertriebsleitung"
"RapidfactureERPCALC","Rapidfacture ERP & CALC"
"drawingUpload","Zeichnungs Upload"
"aboutUs","Über uns"
"accuracyInfo","Mechanisch funktionale Teile, wie drehende Wellen oder Gelenke, und vor allem Teile, die zueinander passen sollen, benötigen eine hohe Genauigkeit. Das theoretische Nennmaß kann aufgrund von Abweichungen in der Praxis nicht erreicht werden, wobei die Genauigkeit einer der Hauptkostenpunkte in der mechanischen Fertigung ist. Die Maßgenauigkeit wird mittels <a title=\"Wikipedia Toleranz\" href=\"https://de.wikipedia.org/wiki/Toleranz_%28Technik%29\">Toleranzen</a> angegeben &mdash; jedes Maß besitzt eine Toleranz. Die maximale Genauigkeit beim Drehen liegt bei etwa bei ± 0,01 mm. Für hochgenaue Anwendungen werden Teile vorgedreht und anschließend auf Rundschleifmaschinen nachgeschliffen, wobei die Genauigkeit in den Bereich von einstelligen Tausendstel Millimeter geht."
"accuracyInfoHeadline","Genauigkeit"
"AGB_Heading_1","1. Allgemeines, Kundenkreis"
"AGB_Heading_10","10. Eigentumsvorbehalt"
"AGB_Heading_11","11. Gewährleistung"
"AGB_Heading_12","12. Haftung"
"AGB_Heading_13","13. Widerrufsbelehrung"
"AGB_Heading_14","14. Schlussbestimmungen"
"AGB_Heading_2","2. Nutzung des Online-Portals"
"AGB_Heading_3","3. Account und Nutzerprofil"
"AGB_Heading_4","4. Vertragsschluss"
"AGB_Heading_5","5. Vertraulichkeit"
"AGB_Heading_6","6. Preise und Zahlung"
"AGB_Heading_7","7. Herstellung"
"AGB_Heading_8","8. Versand"
"AGB_Heading_9","9. Lieferzeit"
"AGB_P_1.1","<b>(1)</b> Alle Angebote, Kaufverträge, Lieferungen und Dienstleistungen auf www.rapidfacture.com (Rapidfacture) unterliegen diesen Allgemeinen Geschäftsbedingungen (AGB). Hierbei kommen sämtliche Verträge mit der Rapidfacture GmbH zustande."
"AGB_P_1.2","<b>(2)</b> Das Produktangebot von Rapidfacture richtet sich gleichermaßen an Privat- und Firmenkunden. Für Zwecke dieser AGB ist ein „Privatkunden“ jede natürliche Person, bei der der Zweck des Vertragsschlusses keiner gewerblichen, noch selbständigen beruflichen Tätigkeit zugerechnet werden kann (§ 13 des Bürgerlichen Gesetzbuches – BGB). Ein „Firmenkunde“ ist eine natürliche oder juristische Person oder eine rechtsfähige Personengesellschaft, die bei Abschluss des Vertrages in Ausübung ihrer gewerblichen oder selbständigen beruflichen Tätigkeit handelt (§ 14 Abs. 1 BGB)."
"AGB_P_1.3","<b>(3)</b> Geschäftsbedingungen des Kunden finden keine Anwendung, auch wenn wir ihrer Geltung im Einzelfall nicht gesondert widersprechen."
"AGB_P_1.4","<b>(4)</b> Im Einzelfall getroffene, individuelle Vereinbarungen mit dem Kunden (einschließlich Nebenabreden, Ergänzungen, Änderungen) haben Vorrang vor diesen AGB. Für derartige Vereinbarungen ist ein schriftlicher Vertrag bzw. unsere schriftliche Bestätigung maßgebend."
"AGB_P_10.1","<b>(1)</b> Bis zur vollständigen Zahlung des Kaufpreises bleibt die Ware im Eigentum von Rapidfacture."
"AGB_P_10.2","<b>(2)</b> Der Kunde ist ohne unsere vorherige schriftliche Zustimmung nicht berechtigt, die von uns gelieferte, unter Eigentumsvorbehalt stehende, Ware weiterzuverkaufen."
"AGB_P_10.3","<b>(3)</b> Der Kunde ist befugt, die unter Eigentumsvorbehalt stehenden Waren im ordnungsgemäßen Geschäftsgang unter Einhaltung folgender Bestimmungen weiter zu verarbeiten:"
"AGB_P_10.4","(a) Der Eigentumsvorbehalt erstreckt sich auf die durch Verarbeitung, Vermischung oder Verbindung unserer Waren entstehenden Erzeugnisse zu deren vollem Wert, wobei wir als Hersteller gelten. Bleibt bei einer Verarbeitung oder Verbindung mit Waren Dritter deren Eigentumsrecht bestehen, so erwerben wir Miteigentum im Verhältnis der Rechnungswerte der verarbeiteten oder verbundenen Waren. Für das entstehende Erzeugnis gilt das Gleiche wie für die unter Eigentumsvorbehalt gelieferte Ware."
"AGB_P_10.5","(b) Die aus dem Weiterverkauf des Erzeugnisses entstehenden Forderungen gegen Dritte tritt der Kunde schon jetzt insgesamt bzw. in Höhe unseres etwaigen Miteigentumsanteils gemäß vorstehendem Absatz an uns ab. Wir nehmen die Abtretung an."
"AGB_P_10.6","(c) Zur Einziehung der Forderung bleibt der Kunde neben uns ermächtigt. Wir verpflichten uns, die Forderung nicht einzuziehen, solange der Kunde seinen Zahlungsverpflichtungen uns gegenüber nachkommt, nicht in Zahlungsverzug gerät, kein Antrag auf Eröffnung eines Insolvenzverfahrens gestellt ist und kein sonstiger Mangel seiner Leistungsfähigkeit vorliegt. Ist dies aber der Fall, so können wir verlangen, dass der Kunde uns die abgetretenen Forderungen und deren Schuldner bekannt gibt, alle zum Einzug erforderlichen Angaben macht, die dazugehörigen Unterlagen aushändigt und den Schuldnern (Dritten) die Abtretung mitteilt."
"AGB_P_11.1","<b>(1)</b> Rapidfacture gewährleistet die Herstellung von nach fertigungstechnischen Aspekten einwandfreier Ware. Hierfür sind in Zeichnungen gemachte technische Angaben, wie Maße und Oberflächeneigenschaften, ausschlaggebend. Die Funktion von Bauteilen im Einsatz kann nicht gewährleistet werden, da Rapidfacture weder den Einsatzzweck kennt, noch an der Auslegung beteiligt ist. Für beschädigte oder zerstörte Bauteile (beispielsweise zu hohe Kräfte, Korrosion, Dauerbeanspruchung, falsche Materialwahl) wird daher keine Gewährleistung übernommen."
"AGB_P_11.2","<b>(2)</b> Die Gewährleistungsfrist ab Lieferung beträgt zwei Jahre für Privatkunden, zwölf Monate für Geschäftskunden."
