"recommendationThermocycling","We wanted to pour the standard manual for heating construction that we developed into software suitable for construction sites. Many software companies limit themselves to pure programming - without knowledge of the application. We received a complete package from Rapidfacture: software development combined with engineering services. Little need for communication and explanation; the respective software versions worked. <br> <br> Surprisingly, I had to take little care of the project - a sure-fire success."
"recommendatedFromThermocycling","Mario Rauter, Ing. of Energy and Control Engineering, Thermocycling GmbH"
"softwareForYourProduction","Software for your production"
"machining","Machining"
"surfaceTreatment","Surface treatment"
"cncMilledParts","CNC Milled Parts"
"onlineDesignUpperCase","Design online"
"orderTurnedAndMilledParts","Order turned and milled parts"
"mechanicalDesignTool","Mechanical tools"
"webSoftwareDevelopment","Web software development"
"allInOneWithoutBreaks","All-in-one software solution for your production"
"home","Home"
"softwareForProduction","Software for production"
"allInOne","All-in-one <br>software solution <br>for your <br>production"
"alsoPrivate","Also private"
"forIndustry","For industry"
"uploadStpPdfDxf","Upload .pdf .stp .dxf "
"receivePrice","Receive price"
"receivePart","peceive part"
"alsoExpress","Also express"
"automationPro","Automation Pro"
"productionGoesDigital","Production becomes digital"
"stopAutomationPro","Stop Automation Pro"
"learnMore","Learn more"
"startAutomationPro","Start Automation Pro"
"sendRequest","Send another request"
"bernhardFelixStory4","While online parts trading was the founding idea, the focus shifted to the technology itself, because we see the lack of digital tools as the biggest hurdle for our vision of the networked factory. We ourselves believed that it made no sense to type the text from e-mails and that it had to be possible to calculate, plan and derive NC programs automatically.
We see ourselves as an intermediary between your company and the digital world. With Automation Pro, we want to deliver a practical, complete solution for manufacturing companies."
"inCooperationWithMTO","In cooperation with MTO machine construction."
"northernGermany","Northern Germany"
"salesManagement","Sales Management"
"RapidfactureERPCALC","Rapidfacture ERP & CALC"
"drawingUpload","Drawing upload"
"aboutUs","About Us"
"accuracyInfo","Mechanically functional parts, such as rotating shafts or joints, and especially parts that should fit together, require a high degree of accuracy. The theoretical nominal size cannot be achieved due to deviations in practice. The accuracy is one of the main cost factor in mechanical production. Dimensional accuracy is indicated by <a title=\"Wikipedia Toleranz\" href=\"https://en.wikipedia.org/wiki/Engineering_tolerance\">tolerances</a> &mdash; every measure has a tolerance. For high-precision applications, parts are prefilmed and then respharpened on circular grinding machines, with the precision in the range of single-digit thousandths of a millimeter."
"accuracyInfoHeadline","Accuracy"
"AGB_Heading_1","1. General, Customers"
"AGB_Heading_10","10. Retention of title"
"AGB_Heading_11","11. Warranty"
"AGB_Heading_12","12. Liability"
"AGB_Heading_13","13. Cancellation Policy"
"AGB_Heading_14","14. Final Provisions"
"AGB_Heading_2","2. Use of the Online-Platform"
"AGB_Heading_3","3. Account and User-Profile"
"AGB_Heading_4","4. Conclusion of Contract"
"AGB_Heading_5","5. Confidentiality"
"AGB_Heading_6","6. Prices and Payment"
"AGB_Heading_7","7. Production"
"AGB_Heading_8","8. Shipment"
"AGB_Heading_9","9. Delivery Period"
"AGB_P_1.1","<b>(1)</b> All offers, purchase contracts, deliveries and services on www.rapidfacture.com (Rapidfacture) are subject to these General Terms and Conditions. All contracts will directly come into effect between the Customer and Rapidfacture."
"AGB_P_1.2","<b>(2)</b> Products offered by Rapidfacture are aimed equally at private and corporate customers. For the purpose of these Terms and Conditions, a private customer is any natural person to whom the purpose of the contract can not be attributed to any commercial or independent professional activity (§ 13 BGB). A corporate customeris a natural or legal person or a legal partnership that acts in the execution of the contract in the exercise of their commercial or independent professional activity (§ 14"
"AGB_P_1.3","<b>(3)</b> Terms and Conditions of the customer do not apply, even if we do not separately contradict their validity in individual cases."
"AGB_P_1.4","<b>(4)</b> In individual cases, individual agreements with the customer (including collateral agreements, additions, changes) have priority over these GTC. Such agreements shall be governed by a written contract or a written confirmation from Rapidfacture."
